,season,completions,attempts,passing_yards,passing_tds,passing_air_yards,passing_yards_after_catch,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,pacr,racr,target_share,air_yards_share,wopr_x,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,predicted_points
27,2021,0,0,0.0,0,0.0,0.0,0,2,21.0,0,0.0,0.0,1.0,0.8301585712470114,0,90,134,1037.0,6,0.0,0.0,1423.0,344.0,45.0,24.50105738538634,0,0.0,12.673416050367416,4.35361048534085,6.3857109386125765,11.000413385040078,16,0.2581888246628131,0.3756599788806758,0.2141967621419676,0.6878112200987603,0.3071682464454976,0.3157894736842105,0.304054054054054,0.3053892215568862,0.311478860064854,0.3088924918932402,1.998073217726397,0.2060554340675947,28,147.5495
212,2021,0,0,0.0,0,0.0,0.0,0,2,3.0,1,0.0,0.0,1.0,1.027058904990554,0,104,140,1015.0,6,1.0,0.0,993.0,439.0,59.0,20.223480459799163,0,0.0,18.984680104003868,3.98272002762206,4.104576464489904,8.847283566576023,16,0.238095238095238,0.2353080568720379,0.2657384987893462,0.5453893026404875,0.2713903743315508,0.3157894736842105,0.3010204081632653,0.3023255813953488,0.2935899240078806,0.2802701942020827,1.7261904761904765,0.1938815429152648,23,146.81699
163,2021,0,0,0.0,0,0.0,0.0,0,1,5.0,0,0.0,0.0,1.0,0.9444636923726648,0,91,146,1008.0,6,3.0,1.0,1622.0,388.0,41.0,12.836530107876277,0,0.0,11.59745187806332,4.207744651128039,4.974421728764248,9.793712186827031,16,0.2539130434782609,0.3211245297960799,0.240545567265964,0.6377691890542554,0.2490118577075099,0.2857142857142857,0.2081218274111675,0.2155963302752293,0.2673630717108978,0.2563523433088651,1.7530434782608697,0.1566827295890107,24,142.67455
162,2021,0,0,0.0,0,0.0,0.0,0,1,12.0,0,0.0,0.0,1.0,0.7791807051980868,0,77,130,1053.0,5,0.0,0.0,1697.0,317.0,47.0,12.17581440386006,0,0.0,13.379697002722404,4.18475802733335,7.094454764711305,11.243255376297938,17,0.2363636363636363,0.4120932491500728,0.167017913593256,0.6842200538655128,0.2810998398291511,0.238095238095238,0.2596685082872928,0.2574257425742574,0.2595975389621946,0.2724989194823685,1.9145454545454543,0.1597408233199156,26,142.67441
34,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,68,104,865.0,8,1.0,0.0,1142.0,235.0,45.0,48.59326587051843,0,0.0,13.070074995561622,2.7641756857202484,3.851331928762217,6.842195878713924,15,0.1867145421903052,0.2587808746884206,0.1195928753180661,0.4870965130361943,0.1978499542543458,0.2105263157894736,0.2036199095022624,0.2046332046332046,0.2041881350219097,0.2003852265613714,1.5529622980251347,0.1227734057645903,27,141.70958
191,2021,0,0,0.0,0,0.0,0.0,0,6,32.0,1,0.0,0.0,2.0,0.9643581494456156,0,81,140,1055.0,4,0.0,0.0,1556.0,381.0,49.0,1.4899042949728003,0,0.0,11.520290363535413,4.63177848402491,6.01916963612241,11.16108647132305,17,0.2583025830258302,0.3468568880962996,0.2367930391547545,0.664939385015785,0.2902338376891334,0.25,0.2722222222222222,0.2704081632653061,0.2701169188445667,0.2821870701513067,1.9464944649446492,0.1748229489933954,24,140.34854
231,2021,0,0,0.0,0,0.0,0.0,0,7,61.0,1,0.0,0.0,2.0,5.091692552311541,0,90,119,912.0,5,0.0,0.0,831.0,424.0,48.0,51.13064180432879,2,0.0,23.621086423375747,3.654997423545941,3.605180746603814,8.006122657941582,16,0.2140287769784172,0.2281713344316309,0.2236286919831223,0.5035802330129306,0.2534037232564601,0.2272727272727272,0.2637362637362637,0.2598039215686274,0.2403382252645937,0.2481775240597135,1.640287769784173,0.1719676794576927,22,138.98508
15,2021,0,0,0.0,0,0.0,0.0,0,1,2.0,0,0.0,0.0,0.0,-0.1940601826645434,0,67,95,726.0,10,1.0,0.0,903.0,239.0,37.0,23.94186932875456,0,0.0,10.933711930496012,2.6463330606747246,3.477316504769681,6.403621144350863,13,0.1946721311475409,0.2449810092240911,0.1413364872856298,0.4879930041005844,0.1960572508776667,0.3846153846153846,0.2138728323699422,0.236180904522613,0.2903363177465257,0.2337688776252103,1.4877049180327868,0.1540573049995373,31,138.79218
121,2021,1,1,33.0,0,33.0,0.0,0,1,11.0,0,0.0,0.0,1.0,0.6512457074131817,0,77,103,982.0,5,0.0,0.0,1189.0,243.0,44.0,51.09938797153092,0,1.0,16.149421153488504,3.123731658943694,4.698994164001606,7.974893403216665,17,0.1742808798646362,0.2694312259234081,0.1066257130320316,0.4769663005356808,0.2126001298982463,0.1851851851851851,0.205607476635514,0.2033195020746888,0.1988926575417157,0.2071171409556341,1.661590524534687,0.1259402144902217,25,136.43507
74,2021,1,1,25.0,1,22.0,3.0,0,12,125.0,0,0.0,0.0,7.0,9.5788863869966,0,55,70,800.0,5,1.0,1.0,592.0,385.0,27.0,42.377612264712354,0,1.1363636363636365,29.42091434494737,2.2061978624979224,2.172789462415916,4.830249417438025,17,0.1308411214953271,0.1380597014925373,0.1984536082474226,0.3067094434370205,0.1952171791117618,0.2083333333333333,0.1443850267379679,0.1516587677725118,0.2017752562225476,0.1978404099560761,1.4953271028037385,0.1201075311747248,26,128.8595
